"No.","Time","Source","Destination","Protocol","Length","Time to Live","Source Port","Destination Port","Transport Layer Security","TCP payload","Flags","Info"
"1","0.000000","192.168.88.1","192.168.88.128","TCP","66","128","1029","3389","","","0x002","1029  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.000461","192.168.88.128","192.168.88.1","TCP","66","128","3389","1029","","","0x012","3389  >  1029 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"5","0.000521","192.168.88.1","192.168.88.128","TCP","54","128","1029","3389","","","0x010","1029  >  3389 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"6","0.001329","192.168.88.1","192.168.88.128","TLSv1","96","128","1029","3389","â\234\223","0300002a25e00000000000436f6f6b69653a206d737473686173683d6f66656b0d0a0100â\200\246","0x018","Ignored Unknown Record"
"7","0.003888","192.168.88.128","192.168.88.1","TCP","54","128","3389","1029","","","0x010","3389  >  1029 [ACK] Seq=1 Ack=43 Win=65536 Len=0"
"8","0.003965","192.168.88.128","192.168.88.1","TLSv1","73","128","3389","1029","â\234\223","030000130ed000001234000201080002000000","0x018","Ignored Unknown Record"
"9","0.058352","192.168.88.1","192.168.88.128","TCP","54","128","1029","3389","","","0x010","1029  >  3389 [ACK] Seq=43 Ack=20 Win=1051136 Len=0"
"10","5.846232","192.168.88.1","192.168.88.128","TLSv1","239","128","1029","3389","â\234\223","16030300b4010000b003036169458ac20f042786154eb9d2749138fd040ccaaa56daa6f6â\200\246","0x018","Client Hello"
"11","5.847158","192.168.88.128","192.168.88.1","TLSv1","896","128","3389","1029","â\234\223","16030103450200004d03016169458bd44e8067a74070bc5491912f1cab360b6cc7dd1f7aâ\200\246","0x018","Server Hello, Certificate, Server Hello Done"
"12","5.847779","192.168.88.1","192.168.88.128","TLSv1","380","128","1029","3389","â\234\223","1603010106100001020100a23a177830a1d70fe15c971391da8e678c061a60f91da891c8â\200\246","0x018","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"13","5.849911","192.168.88.128","192.168.88.1","TLSv1","113","128","3389","1029","â\234\223","140301000101160301003072f5d0aee494caafa48fccec07e42ad7d1d69de6826e44c2d8â\200\246","0x018","Change Cipher Spec, Encrypted Handshake Message"
"14","5.873480","192.168.88.1","192.168.88.128","TLSv1","139","128","1029","3389","â\234\223","170301005023b56736379cd9b738afe32b62a9cf237897d42d648b560efcf4f1b663a9a6â\200\246","0x018","Application Data"
"15","5.874360","192.168.88.128","192.168.88.1","TLSv1","347","128","3389","1029","â\234\223","17030101206e8e3c53021a689fc27f91b82930d65ffa585cf8b49e35962a1145394e602bâ\200\246","0x018","Application Data"
"16","5.878689","192.168.88.1","192.168.88.128","TCP","54","128","1029","3389","","","0x014","1029  >  3389 [RST, ACK] Seq=639 Ack=1214 Win=0 Len=0"
